"","file_id","genus","species","english_cname","who_provided_recording","country","latitude","longitute","type","license","fill"
"12",123169,"Alauda","arvensis","Eurasian Skylark","david m","UK",54.128,-0.5574,"Song","http://creativecommons.org/licenses/by-nc-nd/3.0/","darkslategray1"
"13",123170,"Alauda","arvensis","Eurasian Skylark","david m","UK",54.128,-0.5574,"Song","http://creativecommons.org/licenses/by-nc-nd/3.0/","darkslategray1"
"14",158166,"Alauda","arvensis","Eurasian Skylark","david m","UK",54.127,-0.556,"Song","http://creativecommons.org/licenses/by-nc-nd/3.0/","darkslategray1"
"15",138979,"Anthus","pratensis","Meadow Pipit","Fernand DEROUSSEN","Norway",70.3753,28.4628,"Song","http://creativecommons.org/licenses/by-nc-nd/3.0/","grey"
"16",30614,"Anthus","pratensis","Meadow Pipit","Ruud van Beusekom","Netherlands",52.2823,5.2256,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","grey"
"17",142431,"Anthus","pratensis","Meadow Pipit","Erik Roels","Netherlands",51.3246,3.7232,"Both","http://creativecommons.org/licenses/by-nc-sa/3.0/","grey"
"18",83705,"Anthus","trivialis","Tree Pipit","Jelmer Poelstra","Sweden",60.157,17.639,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","grey"
"19",33395,"Anthus","trivialis","Tree Pipit","Mark Harper","UK",53.2112,-1.0717,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"20",99299,"Anthus","trivialis","Tree Pipit","Tony Whitehead","UK",50.658,-3.719,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"21",139552,"Apus","apus","Common Swift","Volker Arnold","Germany",53.0956,10.8457,"Call","http://creativecommons.org/licenses/by-nc-sa/3.0/","grey"
"22",67307,"Apus","apus","Common Swift","Patrik berg","Sweden",58.4278,14.2273,"Call","http://creativecommons.org/licenses/by-nc-sa/3.0/","grey"
"23",94584,"Branta","canadensis","Canada Goose","Frank Lambert","UK",50.768,0.151,"Call","http://creativecommons.org/licenses/by-nc-nd/3.0/","darkslategray1"
"24",35578,"Branta","canadensis","Canada Goose","Arnold Meijer","Netherlands",52.1756,4.4003,"Call","http://creativecommons.org/licenses/by-nc-nd/2.5/","grey"
"25",95381,"Branta","canadensis","Canada Goose","Herman van der Meer","Netherlands",52.127,4.326,"Call","http://creativecommons.org/licenses/by-nc-nd/2.5/","grey"
"26",64738,"Calidris","alpina","Dunlin","Patrik berg","Sweden",68.471,20.9,"Call","http://creativecommons.org/licenses/by-nc-sa/3.0/","grey"
"27",83894,"Calidris","alpina","Dunlin","Patrik berg","Iceland",63.921,-20.764,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","grey"
"28",156388,"Caprimulgus","europaeus","European Nightjar","Jack Berteau","France",46.5874,0.2243,"Song","http://creativecommons.org/licenses/by-nc-sa/3.0/","grey"
"29",67229,"Caprimulgus","europaeus","European Nightjar","Patrik berg","Sweden",58.4762,14.3726,"Song","http://creativecommons.org/licenses/by-nc-sa/3.0/","grey"
"30",27039,"Caprimulgus","europaeus","European Nightjar","Patrik berg","Sweden",58.4392,14.3298,"Song","http://creativecommons.org/licenses/by-nc-sa/3.0/","grey"
"31",133880,"Carduelis","carduelis","European Goldfinch","Mike Nelson","UK",55.9937,-3.5605,"Song","http://creativecommons.org/licenses/by-nc-sa/3.0/","darkslategray1"
"32",97792,"Carduelis","carduelis","European Goldfinch","Richard Dunn","UK",55.239,-1.566,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"33",133886,"Carduelis","carduelis","European Goldfinch","Mike Nelson","UK",56.0058,-3.5162,"Both","http://creativecommons.org/licenses/by-nc-sa/3.0/","darkslategray1"
"34",70129,"Certhia","familiaris","Eurasian Treecreeper","Paul Driver","UK",51.721,-0.145,"Both","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"35",130409,"Certhia","familiaris","Eurasian Treecreeper","Jelmer Poelstra","Sweden",60.257,17.2172,"Song","http://creativecommons.org/licenses/by-nc-sa/3.0/","grey"
"36",146753,"Certhia","familiaris","Eurasian Treecreeper","David Darrell-Lambert","UK",51.5826,-0.1426,"Song","http://creativecommons.org/licenses/by-nc-sa/3.0/","darkslategray1"
"37",28961,"Chloris","chloris","European Greenfinch","Stuart Fisher","UK",51.5278,-0.01,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"38",99155,"Chloris","chloris","European Greenfinch","Tony Whitehead","UK",50.486,-3.656,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"39",124013,"Chloris","chloris","European Greenfinch","Ashley Fisher","UK",49.9168,-6.3027,"Song","http://creativecommons.org/licenses/by-nc-sa/3.0/","darkslategray1"
"40",129576,"Chroicocephalus","ridibundus","Black-headed Gull","Alexandre Renaudier","France",46.401,6.514,"Both","http://creativecommons.org/licenses/by-nc-sa/3.0/","grey"
"41",129577,"Chroicocephalus","ridibundus","Black-headed Gull","Alexandre Renaudier","France",46.401,6.514,"Both","http://creativecommons.org/licenses/by-nc-sa/3.0/","grey"
"42",143894,"Chroicocephalus","ridibundus","Black-headed Gull","Dan Stowell","UK",55.9104,-3.3199,"Song","http://creativecommons.org/licenses/by-sa/3.0/","darkslategray1"
"43",156262,"Coloeus","monedula","Western Jackdaw","Andre et Odile BOUCHER","France",43.711,5.3928,"Both","http://creativecommons.org/licenses/by-nc-sa/3.0/","grey"
"44",121735,"Coloeus","monedula","Western Jackdaw","Volker Arnold","Germany",54.191,9.106,"Call","http://creativecommons.org/licenses/by-nc-sa/3.0/","grey"
"45",92264,"Columba","livia","Rock Dove","Herman van der Meer","Netherlands",52.0775,4.3249,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","grey"
"46",89994,"Columba","oenas","Stock Dove","Herman van der Meer","Netherlands",52.129,4.332,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","grey"
"47",82971,"Columba","oenas","Stock Dove","Volker Arnold","Germany",54.147,9.222,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","grey"
"48",77429,"Columba","oenas","Stock Dove","Niels Krabbe","Sweden",56.4334,12.5667,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","grey"
"49",130993,"Columba","palumbus","Common Wood Pigeon","Ashley Fisher","UK",49.9172,-6.3034,"Song","http://creativecommons.org/licenses/by-nc-sa/3.0/","darkslategray1"
"50",94614,"Columba","palumbus","Common Wood Pigeon","Frank Lambert","UK",50.8889,0.422,"Song","http://creativecommons.org/licenses/by-nc-nd/3.0/","darkslategray1"
"51",94615,"Columba","palumbus","Common Wood Pigeon","Frank Lambert","UK",50.8889,0.422,"Song","http://creativecommons.org/licenses/by-nc-nd/3.0/","darkslategray1"
"52",143170,"Corvus","corax","Northern Raven","Matthias Hemprich","Germany",47.693,9.4287,"Call","http://creativecommons.org/licenses/by-nc-sa/3.0/","grey"
"53",64735,"Corvus","corax","Northern Raven","Patrik berg","Sweden",58.3667,14.2667,"Both","http://creativecommons.org/licenses/by-nc-sa/3.0/","grey"
"54",96464,"Corvus","corone","Carrion Crow","Matthias Feuersenger","Germany",49.4901,8.477,"Call","http://creativecommons.org/licenses/by-nc-nd/2.5/","grey"
"55",98400,"Corvus","corone","Carrion Crow","Volker Arnold","Germany",54.265,9.138,"Call","http://creativecommons.org/licenses/by-nc-nd/2.5/","grey"
